Entry	Gene ontology (biological process)
Q38998	potassium ion transport [GO:0006813]; regulation of ion transmembrane transport [GO:0034765]; regulation of stomatal closure [GO:0090333]; response to salt stress [GO:0009651]; response to water deprivation [GO:0009414]; root hair elongation [GO:0048767]
Q0WSF1	
Q84VQ0	defense response to virus [GO:0051607]; gene silencing by RNA [GO:0031047]; megasporocyte differentiation [GO:1904159]; megasporogenesis [GO:0009554]; negative regulation of transposition [GO:0010529]; plant ovule development [GO:0048481]; regulation of translation [GO:0006417]
Q9LQE8	auxin-activated signaling pathway [GO:0009734]; regulation of transcription, DNA-templated [GO:0006355]
Q9LDK9	intracellular protein transport [GO:0006886]; vesicle-mediated transport [GO:0016192]
A0A178VBJ0	
Q944Z5	
Q9LRP7	autophagy [GO:0006914]; cellular response to nitrogen starvation [GO:0006995]; protein transport [GO:0015031]
Q9LX20	protein catabolic process [GO:0030163]; proteolysis [GO:0006508]
Q9ZUI6	Golgi to vacuole transport [GO:0006896]; intracellular protein transport [GO:0006886]; receptor-mediated endocytosis [GO:0006898]
Q683C9	histone phosphorylation [GO:0016572]; mitotic spindle organization [GO:0007052]; regulation of cytokinesis [GO:0032465]
Q9LM69	cellular response to cold [GO:0070417]; defense response [GO:0006952]; regulation of flower development [GO:0009909]; regulation of phosphate transport [GO:0010966]; response to chitin [GO:0010200]
F4HZB2	cellular response to salt stress [GO:0071472]; cytoplasmic mRNA processing body assembly [GO:0033962]; mucilage extrusion from seed coat [GO:0080001]; multidimensional cell growth [GO:0009825]; regulation of intracellular mRNA localization [GO:1904580]; regulation of vacuolar transport [GO:1903335]; response to abscisic acid [GO:0009737]; trichome morphogenesis [GO:0010090]; vacuole organization [GO:0007033]
Q93Z37	auxin-activated signaling pathway [GO:0009734]; auxin transport [GO:0060918]; positive regulation of auxin mediated signaling pathway [GO:0010929]
F4JSZ5	protein transport [GO:0015031]; regulation of ARF protein signal transduction [GO:0032012]
Q0JXE7	petal morphogenesis [GO:0048446]; regulation of transcription, DNA-templated [GO:0006355]
Q9SRV1	cellular response to salt stress [GO:0071472]; cellular response to water deprivation [GO:0042631]; protein ubiquitination [GO:0016567]; response to osmotic stress [GO:0006970]
Q9C8Z9	regulation of transcription, DNA-templated [GO:0006355]; response to hydrogen peroxide [GO:0042542]; response to oxidative stress [GO:0006979]; response to salt stress [GO:0009651]
Q9LF68	
Q8LFX7	abscisic acid biosynthetic process [GO:0009688]; cell wall organization [GO:0071555]; cuticle development [GO:0042335]; cutin biosynthetic process [GO:0010143]; defense response to fungus [GO:0050832]; lateral root development [GO:0048527]; positive regulation of cutin biosynthetic process [GO:1901959]; positive regulation of response to water deprivation [GO:1902584]; regulation of abscisic acid biosynthetic process [GO:0010115]; response to abscisic acid [GO:0009737]; response to osmotic stress [GO:0006970]; suberin biosynthetic process [GO:0010345]; transpiration [GO:0010148]
O23553	maltose biosynthetic process [GO:0000024]; response to cold [GO:0009409]; starch catabolic process [GO:0005983]
O80996	regulation of seed germination [GO:0010029]
Q9FGK4	oxidation-reduction process [GO:0055114]
Q9LVA0	cellular response to cold [GO:0070417]; cellular response to heat [GO:0034605]; cellular response to unfolded protein [GO:0034620]; protein folding [GO:0006457]
Q9M9G7	actin cytoskeleton organization [GO:0030036]; actin filament capping [GO:0051693]; actin filament organization [GO:0007015]; barbed-end actin filament capping [GO:0051016]; cell morphogenesis [GO:0000902]; response to heat [GO:0009408]
C0SV51	regulation of salicylic acid biosynthetic process [GO:0080142]
O23066	defense response [GO:0006952]; fatty acid metabolic process [GO:0006631]
Q9ZT82	(1->3)-beta-D-glucan biosynthetic process [GO:0006075]; defense response [GO:0006952]; defense response by callose deposition [GO:0052542]; defense response by callose deposition in cell wall [GO:0052544]; defense response signaling pathway, resistance gene-dependent [GO:0009870]; defense response to bacterium [GO:0042742]; defense response to fungus [GO:0050832]; leaf morphogenesis [GO:0009965]; leaf senescence [GO:0010150]; pollen development [GO:0009555]; regulation of cell shape [GO:0008360]; reproduction [GO:0000003]; response to fungus [GO:0009620]; salicylic acid mediated signaling pathway [GO:0009863]
Q9SFX6	exonucleolytic catabolism of deadenylated mRNA [GO:0043928]; negative regulation of translation [GO:0017148]
Q6IDS6	protein ubiquitination [GO:0016567]
P41088	flavonoid biosynthetic process [GO:0009813]; response to auxin [GO:0009733]; response to karrikin [GO:0080167]; response to UV [GO:0009411]; response to UV-B [GO:0010224]
Q0PCS3	cell division [GO:0051301]; cellular response to gamma radiation [GO:0071480]; cellular response to metal ion [GO:0071248]; double-strand break repair via homologous recombination [GO:0000724]; double-strand break repair via synthesis-dependent strand annealing [GO:0045003]; interaction with host [GO:0051701]; reciprocal meiotic recombination [GO:0007131]; response to gamma radiation [GO:0010332]; viral process [GO:0016032]
F4IV45	chromatin organization [GO:0006325]
Q94AD9	
Q9ZV43	cellular response to DNA damage stimulus [GO:0006974]; DNA repair [GO:0006281]; response to gamma radiation [GO:0010332]; transcription-coupled nucleotide-excision repair [GO:0006283]
Q3E9C0	intracellular signal transduction [GO:0035556]; peptidyl-serine phosphorylation [GO:0018105]; protein autophosphorylation [GO:0046777]; regulation of pollen tube growth [GO:0080092]
Q9FKP2	cation transport [GO:0006812]; potassium ion transport [GO:0006813]; response to osmotic stress [GO:0006970]; sodium ion transport [GO:0006814]
P42735	
Q8GYM6	cell cycle [GO:0007049]; cell division [GO:0051301]; leaf development [GO:0048366]; positive regulation of DNA-templated transcription, elongation [GO:0032786]; regulation of transcription by RNA polymerase II [GO:0006357]; response to virus [GO:0009615]; trichome morphogenesis [GO:0010090]
Q8L778	cellulose biosynthetic process [GO:0030244]; cell wall organization [GO:0071555]; mucilage biosynthetic process [GO:0010192]; plant-type primary cell wall biogenesis [GO:0009833]
Q8GSA7	cellular response to cold [GO:0070417]; defense response to bacterium [GO:0042742]; defense response to fungus [GO:0050832]; extracellular ATP signaling [GO:0106167]; leaf senescence [GO:0010150]; positive regulation of defense response to insect [GO:1900367]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of transcription, DNA-templated [GO:0006355]; response to cold [GO:0009409]
Q39054	auxin-activated signaling pathway [GO:0009734]; molybdenum incorporation into molybdenum-molybdopterin complex [GO:0018315]; molybdopterin cofactor biosynthetic process [GO:0032324]; Mo-molybdopterin cofactor biosynthetic process [GO:0006777]; response to metal ion [GO:0010038]
Q8LF36	brassinosteroid mediated signaling pathway [GO:0009742]; negative regulation of brassinosteroid mediated signaling pathway [GO:1900458]; positive regulation of fatty acid beta-oxidation [GO:0032000]; protein dephosphorylation [GO:0006470]; regulation of protein autophosphorylation [GO:0031952]
P42644	cellular response to nitrogen starvation [GO:0006995]; cellular response to phosphate starvation [GO:0016036]; cellular response to potassium ion starvation [GO:0051365]; cold acclimation [GO:0009631]; ethylene-activated signaling pathway [GO:0009873]; regulation of metabolic process [GO:0019222]; response to cold [GO:0009409]; response to freezing [GO:0050826]
Q9LZJ5	transmembrane transport [GO:0055085]
Q94A28	citrate metabolic process [GO:0006101]; glyoxylate cycle [GO:0006097]; isocitrate metabolic process [GO:0006102]; response to cadmium ion [GO:0046686]; response to iron ion starvation [GO:1990641]; response to oxidative stress [GO:0006979]; tricarboxylic acid cycle [GO:0006099]
Q37145	
Q84WW2	carbohydrate metabolic process [GO:0005975]; cellular response to redox state [GO:0071461]; defense response to bacterium [GO:0042742]; defense response to oomycetes [GO:0002229]; nitrate assimilation [GO:0042128]; pentose-phosphate shunt, oxidative branch [GO:0009051]
Q8H0V6	defense response to bacterium [GO:0042742]; response to cadmium ion [GO:0046686]
Q9SW21	cuticle development [GO:0042335]; fatty acid biosynthetic process [GO:0006633]; systemic acquired resistance [GO:0009627]
P57750	carbohydrate metabolic process [GO:0005975]; DNA repair [GO:0006281]; UDP-N-acetylglucosamine biosynthetic process [GO:0006048]
Q9FZA2	response to jasmonic acid [GO:0009753]
Q9LNA5	response to abscisic acid [GO:0009737]
Q6PQQ3	auxin mediated signaling pathway involved in phyllotactic patterning [GO:0060774]; ethylene-activated signaling pathway [GO:0009873]; lateral root formation [GO:0010311]; leaf phyllotactic patterning [GO:0060772]; phyllotactic patterning [GO:0060771]; positive regulation of embryonic development [GO:0040019]; post-embryonic development [GO:0009791]; root development [GO:0048364]; seed germination [GO:0009845]
Q6A332	regulation of cell cycle [GO:0051726]; regulation of transcription by RNA polymerase II [GO:0006357]; reproduction [GO:0000003]; transcription, DNA-templated [GO:0006351]
Q8W471	fatty acid elongation [GO:0030497]
O64749	capsule polysaccharide biosynthetic process [GO:0045227]; embryo development ending in seed dormancy [GO:0009793]; galactose metabolic process [GO:0006012]; pollen tube development [GO:0048868]; UDP-L-arabinose biosynthetic process [GO:0033358]
Q9SPM5	
Q6NMD6	cellular response to ethylene stimulus [GO:0071369]; multicellular organism development [GO:0007275]; positive regulation of organ growth [GO:0046622]; regulation of cell population proliferation [GO:0042127]; regulation of developmental growth [GO:0048638]; response to auxin [GO:0009733]
Q9ZPE9	
O23913	alternative respiration [GO:0010230]
Q9SE45	response to cold [GO:0009409]; response to heat [GO:0009408]; response to salt stress [GO:0009651]; response to water deprivation [GO:0009414]
Q9ZTA1	glucosinolate biosynthetic process [GO:0019761]
Q6NKP9	protein deubiquitination [GO:0016579]; protein K48-linked deubiquitination [GO:0071108]; protein K63-linked deubiquitination [GO:0070536]
Q96251	ATP synthesis coupled proton transport [GO:0015986]
Q941L2	cellular homeostasis [GO:0019725]; defense response [GO:0006952]; negative regulation of defense response [GO:0031348]; response to cold [GO:0009409]; response to heat [GO:0009408]; response to salicylic acid [GO:0009751]; response to temperature stimulus [GO:0009266]; response to wounding [GO:0009611]
Q9LJB7	blue light signaling pathway [GO:0009785]; negative regulation of transcription, DNA-templated [GO:0045892]; photomorphogenesis [GO:0009640]; red or far-red light signaling pathway [GO:0010017]; regulation of flower development [GO:0009909]; regulation of transcription, DNA-templated [GO:0006355]; response to chitin [GO:0010200]
Q94CE3	carbon utilization [GO:0015976]; cyanate catabolic process [GO:0009440]
Q9C5R8	cell redox homeostasis [GO:0045454]; defense response to bacterium [GO:0042742]; response to cold [GO:0009409]; response to oxidative stress [GO:0006979]
Q9SVU6	regulation of transcription, DNA-templated [GO:0006355]
Q1PF17	regulation of transcription, DNA-templated [GO:0006355]
O65440	cell differentiation [GO:0030154]; floral organ development [GO:0048437]; hormone-mediated signaling pathway [GO:0009755]; regulation of meristem growth [GO:0010075]
Q8S3D1	regulation of transcription, DNA-templated [GO:0006355]
Q9FF18	trans-zeatin biosynthetic process [GO:0033466]
Q9FKH6	cellular response to hypoxia [GO:0071456]; oxidation-reduction process [GO:0055114]
Q38819	cell cycle G2/M phase transition [GO:0044839]; cell division [GO:0051301]; DNA endoreduplication [GO:0042023]; guard mother cell differentiation [GO:0010444]; lateral root formation [GO:0010311]; mitotic cell cycle phase transition [GO:0044772]; positive regulation of stomatal complex development [GO:2000123]; regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0000079]; regulation of G2/M transition of mitotic cell cycle [GO:0010389]
Q9LTM1	
C0SVV6	negative regulation of defense response to bacterium, incompatible interaction [GO:1902478]; regulation of salicylic acid biosynthetic process [GO:0080142]
P42751	cell division [GO:0051301]; mitotic cell cycle phase transition [GO:0044772]; regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0000079]
Q9LUC8	
Q9LMM1	fatty acid metabolic process [GO:0006631]
Q9C7P4	
P0DH97	calcium-mediated signaling [GO:0019722]
Q9LTS7	negative regulation of transcription, DNA-templated [GO:0045892]
Q9ZQI2	cell-cell junction assembly [GO:0007043]; cell wall modification [GO:0042545]; positive regulation of amyloid-beta formation [GO:1902004]; proteolysis [GO:0006508]; regulation of protein stability [GO:0031647]
Q9C9N3	negative regulation of secondary cell wall biogenesis [GO:1901347]; negative regulation of unidimensional cell growth [GO:0051511]; positive regulation of transcription, DNA-templated [GO:0045893]
Q9ZW36	
Q9FK63	embryo development ending in seed dormancy [GO:0009793]; protein autophosphorylation [GO:0046777]; response to auxin [GO:0009733]; response to insect [GO:0009625]; response to osmotic stress [GO:0006970]
O82387	cell division [GO:0051301]; DNA endoreduplication [GO:0042023]; DNA replication initiation [GO:0006270]; mitotic cell cycle [GO:0000278]; mitotic DNA replication checkpoint [GO:0033314]
Q8GXX7	negative regulation of translation [GO:0017148]
Q9FKW3	flavonoid biosynthetic process [GO:0009813]
F4JY24	ATP-dependent chromatin remodeling [GO:0043044]; nucleosome positioning [GO:0016584]; positive regulation of cellular response to heat [GO:1900036]
Q9LYS6	(1->3)-beta-D-glucan biosynthetic process [GO:0006075]; cell wall organization [GO:0071555]; regulation of cell shape [GO:0008360]
Q9SHJ3	(1->3)-beta-D-glucan biosynthetic process [GO:0006075]; callose deposition in phloem sieve plate [GO:0080165]; cell wall organization [GO:0071555]; phloem transport [GO:0010233]; regulation of cell shape [GO:0008360]
Q9SRQ2	green leaf volatile biosynthetic process [GO:0010597]
Q9M2Y6	carbon utilization [GO:0015976]; leaf morphogenesis [GO:0009965]; methylation [GO:0032259]; pectin biosynthetic process [GO:0045489]; pectin metabolic process [GO:0045488]; plant-type cell wall biogenesis [GO:0009832]; plant-type cell wall organization [GO:0009664]; positive regulation of developmental growth [GO:0048639]; positive regulation of photosynthesis [GO:1905157]; positive regulation of respiratory gaseous exchange [GO:1903942]; positive regulation of unidimensional cell growth [GO:0051512]
Q9SIQ7	intracellular signal transduction [GO:0035556]; peptidyl-serine phosphorylation [GO:0018105]; protein autophosphorylation [GO:0046777]; regulation of inward rectifier potassium channel activity [GO:1901979]; regulation of pollen tube growth [GO:0080092]
Q9FKP1	cation transport [GO:0006812]; potassium ion transport [GO:0006813]; sodium ion transport [GO:0006814]
Q9SJ61	intracellular signal transduction [GO:0035556]; peptidyl-serine phosphorylation [GO:0018105]; protein autophosphorylation [GO:0046777]
Q84MD2	cell wall organization [GO:0071555]; ion homeostasis [GO:0050801]; iron ion homeostasis [GO:0055072]; multicellular organism development [GO:0007275]; regulation of root morphogenesis [GO:2000067]; response to acidic pH [GO:0010447]; response to iron ion [GO:0010039]
Q9M008	monovalent inorganic cation transport [GO:0015672]; potassium ion transport [GO:0006813]; regulation of pH [GO:0006885]
Q9ZNV5	negative regulation of flower development [GO:0009910]; vegetative to reproductive phase transition of meristem [GO:0010228]
Q84JA6	cellulose biosynthetic process [GO:0030244]; cell wall organization [GO:0071555]; defense response to bacterium [GO:0042742]; defense response to fungus [GO:0050832]; plant-type primary cell wall biogenesis [GO:0009833]; plant-type secondary cell wall biogenesis [GO:0009834]
Q9SVM9	cell wall organization [GO:0071555]; very long-chain fatty acid biosynthetic process [GO:0042761]; wax biosynthetic process [GO:0010025]
Q93YS4	response to water deprivation [GO:0009414]; transmembrane transport [GO:0055085]; transpiration [GO:0010148]
P93821	
O65201	fatty acid beta-oxidation [GO:0006635]; fatty acid beta-oxidation using acyl-CoA oxidase [GO:0033540]; lipid homeostasis [GO:0055088]; long-chain fatty acid metabolic process [GO:0001676]
Q9FNB5	response to nematode [GO:0009624]; suberin biosynthetic process [GO:0010345]; transmembrane transport [GO:0055085]
Q9LZ98	
Q9FIX1	
Q8RXD3	abscisic acid-activated signaling pathway [GO:0009738]; negative regulation of abscisic acid-activated signaling pathway [GO:0009788]; protein ubiquitination [GO:0016567]; response to abscisic acid [GO:0009737]; ubiquitin-dependent protein catabolic process [GO:0006511]
Q1PFA4	pollen development [GO:0009555]; pollen maturation [GO:0010152]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of pollen tube growth [GO:0080092]
Q9M7Q4	abscisic acid-activated signaling pathway [GO:0009738]; positive regulation of transcription, DNA-templated [GO:0045893]
Q9LK62	response to other organism [GO:0051707]; transmembrane transport [GO:0055085]
Q9FIT8	cytoskeleton organization [GO:0007010]; root hair cell tip growth [GO:0048768]
Q9FFR3	D-gluconate catabolic process [GO:0046177]; pentose-phosphate shunt, oxidative branch [GO:0009051]; response to cadmium ion [GO:0046686]; response to fructose [GO:0009750]; response to glucose [GO:0009749]; response to sucrose [GO:0009744]
Q7GB25	abscisic acid-activated signaling pathway involved in stomatal movement [GO:1901527]; cellular potassium ion homeostasis [GO:0030007]; response to salt stress [GO:0009651]; transmembrane transport [GO:0055085]
Q8LPT1	
Q9ZSK3	actin filament depolymerization [GO:0030042]; defense response signaling pathway, resistance gene-dependent [GO:0009870]; defense response to bacterium [GO:0042742]
Q84M96	
Q9FVJ3	intracellular protein transport [GO:0006886]
P29383	carpel development [GO:0048440]; cell differentiation [GO:0030154]; maintenance of floral meristem identity [GO:0010076]; petal development [GO:0048441]; plant ovule development [GO:0048481]; positive regulation of transcription by RNA polymerase II [GO:0045944]; sepal development [GO:0048442]; stamen development [GO:0048443]
Q8W468	positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; protein polyubiquitination [GO:0000209]; ubiquitin-dependent protein catabolic process [GO:0006511]
Q7XZP5	cellular response to oxidative stress [GO:0034599]; hydrogen peroxide catabolic process [GO:0042744]; response to reactive oxygen species [GO:0000302]
Q9FFP1	multicellular organism development [GO:0007275]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; protein polyubiquitination [GO:0000209]; regulation of double fertilization forming a zygote and endosperm [GO:0080155]; ubiquitin-dependent protein catabolic process [GO:0006511]
Q8VZ37	intracellular protein transport [GO:0006886]; vesicle-mediated transport [GO:0016192]
F4JIK2	one-carbon metabolic process [GO:0006730]
Q9SG96	protein ubiquitination [GO:0016567]
Q96252	ATP synthesis coupled proton transport [GO:0015986]
Q9SHS7	brassinosteroid mediated signaling pathway [GO:0009742]
Q9C5X4	abscisic acid-activated signaling pathway [GO:0009738]; actin cytoskeleton organization [GO:0030036]; histone H3-K4 methylation [GO:0051568]; histone H3-K4 trimethylation [GO:0080182]; intracellular signal transduction [GO:0035556]; negative regulation of flower development [GO:0009910]; peptidyl-lysine methylation [GO:0018022]; quiescent center organization [GO:1904961]; regulation of flower development [GO:0009909]; regulation of gene expression, epigenetic [GO:0040029]; regulation of lateral root development [GO:2000023]; regulation of root development [GO:2000280]; regulation of root morphogenesis [GO:2000067]; regulation of stomatal closure [GO:0090333]; regulation of transcription, DNA-templated [GO:0006355]; regulation of transcription by RNA polymerase II [GO:0006357]; response to water deprivation [GO:0009414]; specification of floral organ identity [GO:0010093]; vegetative to reproductive phase transition of meristem [GO:0010228]
Q9C6F5	carbon utilization [GO:0015976]; cyanate catabolic process [GO:0009440]
Q8W4L3	brassinosteroid mediated signaling pathway [GO:0009742]
Q9SCV3	carbohydrate metabolic process [GO:0005975]
Q93YR2	pantothenate import across plasma membrane [GO:0098717]
Q9LE16	ribosomal large subunit assembly [GO:0000027]; rRNA processing [GO:0006364]
O80517	
Q9C8K1	carbohydrate metabolic process [GO:0005975]
Q8RWS4	embryo sac development [GO:0009553]; pollen development [GO:0009555]; rRNA processing [GO:0006364]
Q5S1W2	cellular response to calcium ion [GO:0071277]; defense response [GO:0006952]; negative regulation of cell death [GO:0060548]
Q9FLG1	arabinan catabolic process [GO:0031222]; systemic acquired resistance [GO:0009627]; xylan catabolic process [GO:0045493]
Q9C682	
Q94JY4	actin filament polymerization [GO:0030041]; actin nucleation [GO:0045010]; cell morphogenesis [GO:0000902]; cell motility [GO:0048870]; regulation of actin polymerization or depolymerization [GO:0008064]; trichome morphogenesis [GO:0010090]
Q6PQQ4	multicellular organism development [GO:0007275]
O49342	defense response [GO:0006952]
Q9LTL8	
Q9FYJ6	
P58048	
Q9LIP6	
O23365	carotenoid biosynthetic process [GO:0016117]; oxidation-reduction process [GO:0055114]
Q42601	'de novo' UMP biosynthetic process [GO:0044205]; arginine biosynthetic process [GO:0006526]; cellular response to phosphate starvation [GO:0016036]; glutamine metabolic process [GO:0006541]; nitrogen compound metabolic process [GO:0006807]
Q9SL79	Group II intron splicing [GO:0000373]; mRNA processing [GO:0006397]
Q9ZNR0	regulation of growth [GO:0040008]; seed development [GO:0048316]
E0X9N4	
Q94K71	
Q9SJ25	lignin biosynthetic process [GO:0009809]
Q9ZV28	oxidation-reduction process [GO:0055114]; sterol biosynthetic process [GO:0016126]; sterol metabolic process [GO:0016125]
Q9SIV5	DNA methylation on cytosine [GO:0032776]; gene silencing by RNA [GO:0031047]; regulation of RNAi-mediated heterochromatin assembly [GO:0010964]
Q9XEE6	cellular response to hypoxia [GO:0071456]; defense response to fungus [GO:0050832]; regulation of transcription, DNA-templated [GO:0006355]; response to chitin [GO:0010200]; response to cold [GO:0009409]
Q9SV09	
Q9SW18	chlorophyll biosynthetic process [GO:0015995]; methylation [GO:0032259]
O49717	intracellular signal transduction [GO:0035556]; peptidyl-serine phosphorylation [GO:0018105]; protein autophosphorylation [GO:0046777]
Q9FKW4	defense response [GO:0006952]; intracellular signal transduction [GO:0035556]; multicellular organism development [GO:0007275]; negative regulation of defense response to bacterium [GO:1900425]; peptidyl-serine phosphorylation [GO:0018105]; protein autophosphorylation [GO:0046777]; protein phosphorylation [GO:0006468]; regulation of growth [GO:0040008]; regulation of secondary shoot formation [GO:2000032]
Q9FIN1	carbohydrate metabolic process [GO:0005975]; pentose-phosphate shunt, oxidative branch [GO:0009051]
Q9M9E1	abscisic acid-activated signaling pathway [GO:0009738]; abscisic acid transport [GO:0080168]; cellular response to water deprivation [GO:0042631]; defense response to oomycetes [GO:0002229]; import across plasma membrane [GO:0098739]; import into cell [GO:0098657]; intercellular transport [GO:0010496]; lead ion transport [GO:0015692]; negative regulation of post-embryonic development [GO:0048581]; response to abscisic acid [GO:0009737]; response to cold [GO:0009409]; response to ethylene [GO:0009723]; response to heat [GO:0009408]; response to jasmonic acid [GO:0009753]; response to ozone [GO:0010193]; response to salicylic acid [GO:0009751]; response to water deprivation [GO:0009414]; stomatal closure [GO:0090332]; terpenoid transport [GO:0046865]; transmembrane transport [GO:0055085]
P11829	fatty acid biosynthetic process [GO:0006633]
Q9M0D0	ribosomal subunit export from nucleus [GO:0000054]; translational initiation [GO:0006413]; translational termination [GO:0006415]
Q9M0G9	cellular iron ion homeostasis [GO:0006879]; ion transport [GO:0006811]; response to cadmium ion [GO:0046686]; transmembrane transport [GO:0055085]
Q9S9U6	ethylene biosynthetic process [GO:0009693]; fruit ripening [GO:0009835]
Q8RWG1	cellular response to nitrogen starvation [GO:0006995]; chlorophyll catabolic process [GO:0015996]; photosynthetic electron transport chain [GO:0009767]; plastoglobule organization [GO:0080177]; positive regulation of carotenoid biosynthetic process [GO:1904143]; positive regulation of chlorophyll biosynthetic process [GO:1902326]; regulation of anthocyanin biosynthetic process [GO:0031540]; regulation of photosynthesis [GO:0010109]; regulation of tocopherol cyclase activity [GO:1902171]; response to blue light [GO:0009637]; response to paraquat [GO:1901562]; response to photooxidative stress [GO:0080183]; response to red light [GO:0010114]; response to water deprivation [GO:0009414]; thylakoid membrane organization [GO:0010027]
Q9ZU52	fructose 1,6-bisphosphate metabolic process [GO:0030388]; gluconeogenesis [GO:0006094]; glycolytic process [GO:0006096]; response to cadmium ion [GO:0046686]; response to oxidative stress [GO:0006979]
Q9FH04	formaldehyde catabolic process [GO:0046294]
Q8VXZ7	carbohydrate metabolic process [GO:0005975]; cell wall organization [GO:0071555]
Q9LJD9	
Q9FR37	auxin biosynthetic process [GO:0009851]; indoleacetic acid biosynthetic process [GO:0009684]
P0DO00	amine metabolic process [GO:0009308]
Q94F57	response to karrikin [GO:0080167]
Q9SB31	xylem and phloem pattern formation [GO:0010051]; xylem development [GO:0010089]
P29381	flower development [GO:0009908]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of growth [GO:0040008]
Q8LPL7	nucleotide metabolic process [GO:0009117]; RNA catabolic process [GO:0006401]
Q8VY57	cell cycle [GO:0007049]; cell division [GO:0051301]; chromosome segregation [GO:0007059]; defense response to virus [GO:0051607]
Q9LZX7	flower development [GO:0009908]; vegetative to reproductive phase transition of meristem [GO:0010228]
P53496	
Q93VB2	autophagosome assembly [GO:0000045]; autophagy [GO:0006914]; autophagy of mitochondrion [GO:0000422]; autophagy of nucleus [GO:0044804]; defense response to fungus [GO:0050832]; leaf senescence [GO:0010150]; positive regulation of autophagy [GO:0010508]; protein lipidation [GO:0006497]; protein localization to phagophore assembly site [GO:0034497]; protein transport [GO:0015031]; response to osmotic stress [GO:0006970]; response to oxidative stress [GO:0006979]; response to salt stress [GO:0009651]; response to starvation [GO:0042594]; response to water deprivation [GO:0009414]
O64762	protein ubiquitination [GO:0016567]
Q8W571	protein ubiquitination [GO:0016567]
Q9LUL6	protein ubiquitination [GO:0016567]
Q6NKR1	protein ubiquitination [GO:0016567]
Q9FJM5	glutamine metabolic process [GO:0006541]; tryptophan biosynthetic process [GO:0000162]
O82390	response to light stimulus [GO:0009416]; response to nematode [GO:0009624]; sodium ion transport [GO:0006814]
O81057	protein ubiquitination [GO:0016567]; SCF-dependent proteasomal ubiquitin-dependent protein catabolic process [GO:0031146]; ubiquitin-dependent protein catabolic process [GO:0006511]
Q9FYE3	one-carbon metabolic process [GO:0006730]; response to carbon dioxide [GO:0010037]
Q9LFE3	amino acid transmembrane transport [GO:0003333]
F4ILY9	amino acid transmembrane transport [GO:0003333]; neutral amino acid transport [GO:0015804]
Q8GZ92	
F4JHT3	
O65685	regulation of transcription by RNA polymerase II [GO:0006357]
Q7XJT7	brassinosteroid mediated signaling pathway [GO:0009742]; positive regulation of intracellular signal transduction [GO:1902533]; suspensor development [GO:0010098]; zygote elongation [GO:0080159]
Q9SIW1	regulation of transcription by RNA polymerase II [GO:0006357]
Q8RXD4	cellular response to gamma radiation [GO:0071480]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]; double-strand break repair via homologous recombination [GO:0000724]; negative regulation of fatty acid biosynthetic process [GO:0045717]; negative regulation of histone acetylation [GO:0035067]; positive regulation of cell cycle arrest [GO:0071158]; positive regulation of histone acetylation [GO:0035066]; positive regulation of transcription by RNA polymerase II [GO:0045944]; response to gamma radiation [GO:0010332]
Q8S8C6	regulation of developmental process [GO:0050793]; regulation of transcription, DNA-templated [GO:0006355]; response to ethylene [GO:0009723]
Q94KL5	leaf morphogenesis [GO:0009965]; regulation of transcription by RNA polymerase II [GO:0006357]
Q9LJX5	
Q9LXD6	arabinan catabolic process [GO:0031222]; xylan catabolic process [GO:0045493]
Q8L999	regulation of transcription, DNA-templated [GO:0006355]; response to ethylene [GO:0009723]
Q93VJ4	regulation of transcription, DNA-templated [GO:0006355]; transcription, DNA-templated [GO:0006351]
O64743	embryo development ending in seed dormancy [GO:0009793]; polar nucleus fusion [GO:0010197]
Q8GXG6	arabinogalactan protein metabolic process [GO:0010405]; protein O-linked glycosylation via hydroxyproline [GO:0018258]
Q5XEZ1	arabinogalactan protein metabolic process [GO:0010405]; protein O-linked glycosylation via hydroxyproline [GO:0018258]
Q8RX55	arabinogalactan protein metabolic process [GO:0010405]; protein O-linked glycosylation via hydroxyproline [GO:0018258]; root hair cell development [GO:0080147]
Q9LTL0	
Q9ZSY9	green leaf volatile biosynthetic process [GO:0010597]
F4K2U8	G protein-coupled receptor signaling pathway [GO:0007186]
Q9XF89	nonphotochemical quenching [GO:0010196]; photosynthesis [GO:0015979]; photosynthesis, light harvesting in photosystem I [GO:0009768]; photosystem II assembly [GO:0010207]; protein-chromophore linkage [GO:0018298]; response to blue light [GO:0009637]; response to far red light [GO:0010218]; response to light stimulus [GO:0009416]; response to red light [GO:0010114]
P48422	fatty acid metabolic process [GO:0006631]; suberin biosynthetic process [GO:0010345]
Q9LEU4	exonucleolytic catabolism of deadenylated mRNA [GO:0043928]; negative regulation of translation [GO:0017148]
O64637	
Q9FMS6	defense response to bacterium [GO:0042742]; exonucleolytic catabolism of deadenylated mRNA [GO:0043928]; negative regulation of translation [GO:0017148]; nuclear-transcribed mRNA poly(A) tail shortening [GO:0000289]
