Entry	Gene ontology (biological process)
Q04689	
Q04516	
P18544	arginine biosynthetic process [GO:0006526]; ornithine biosynthetic process [GO:0006592]
P53244	protein transport [GO:0015031]; ubiquitin-dependent endocytosis [GO:0070086]
P53296	acetate ester metabolic process involved in fermentation [GO:1901089]; response to toxic substance [GO:0009636]; steroid metabolic process [GO:0008202]; sterol acetylation [GO:0034209]
Q06071	endosome organization [GO:0007032]; regulation of protein localization [GO:0032880]
P50084	meiotic cell cycle [GO:0051321]; negative regulation of protein localization to nucleolus [GO:1904750]
P00729	macroautophagy [GO:0016236]; phytochelatin biosynthetic process [GO:0046938]; protein catabolic process in the vacuole [GO:0007039]; proteolysis involved in cellular protein catabolic process [GO:0051603]; zymogen activation [GO:0031638]
Q06703	ascospore wall assembly [GO:0030476]; chitin catabolic process [GO:0006032]; polysaccharide catabolic process [GO:0000272]
P24868	cell division [GO:0051301]; G2/MI transition of meiotic cell cycle [GO:0008315]; G2/M transition of mitotic cell cycle [GO:0000086]; mitotic cell cycle phase transition [GO:0044772]; mitotic spindle organization [GO:0007052]; positive regulation of mitotic spindle pole body separation [GO:0010696]; regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0000079]; regulation of meiosis I [GO:0060631]
P38903	cellular bud neck septin ring organization [GO:0032186]; cellular protein localization [GO:0034613]; DNA repair [GO:0006281]; establishment of protein localization to chromosome [GO:0070199]; meiotic sister chromatid cohesion, centromeric [GO:0051754]; mitotic spindle orientation checkpoint [GO:0031578]; positive regulation of autophagosome assembly [GO:2000786]; protein dephosphorylation [GO:0006470]; regulation of protein autophosphorylation [GO:0031952]; septin ring disassembly [GO:0031107]; signal transduction [GO:0007165]; sister chromatid biorientation [GO:0031134]
Q07716	lipid metabolic process [GO:0006629]
P25377	alcohol metabolic process [GO:0006066]
P47015	mitochondrial translational initiation [GO:0070124]
P53068	anaphase-promoting complex-dependent catabolic process [GO:0031145]; cell cycle [GO:0007049]; cell division [GO:0051301]; chromatin assembly [GO:0031497]; positive regulation of ubiquitin protein ligase activity [GO:1904668]; protein K11-linked ubiquitination [GO:0070979]
Q05933	actin cortical patch organization [GO:0044396]; Arp2/3 complex-mediated actin nucleation [GO:0034314]; establishment of mitochondrion localization [GO:0051654]
Q12500	post-Golgi vesicle-mediated transport [GO:0006892]
P07251	ATP synthesis coupled proton transport [GO:0015986]
P16474	cellular response to unfolded protein [GO:0034620]; chaperone cofactor-dependent protein refolding [GO:0051085]; chronological cell aging [GO:0001300]; endoplasmic reticulum unfolded protein response [GO:0030968]; fungal-type cell wall beta-glucan biosynthetic process [GO:0070880]; karyogamy involved in conjugation with cellular fusion [GO:0000742]; posttranslational protein targeting to membrane, translocation [GO:0031204]; protein localization to endoplasmic reticulum [GO:0070972]; protein refolding [GO:0042026]; response to unfolded protein [GO:0006986]; SRP-dependent cotranslational protein targeting to membrane, translocation [GO:0006616]; ubiquitin-dependent ERAD pathway [GO:0030433]
Q03654	generation of catalytic spliceosome for second transesterification step [GO:0000350]; mRNA splicing, via spliceosome [GO:0000398]
Q12102	mRNA cleavage [GO:0006379]; mRNA polyadenylation [GO:0006378]; pre-mRNA cleavage required for polyadenylation [GO:0098789]
P32468	cellular protein localization [GO:0034613]; cytoskeleton-dependent cytokinesis [GO:0061640]; maintenance of cell polarity [GO:0030011]; mitotic actomyosin contractile ring assembly [GO:1903475]; mitotic cytokinesis [GO:0000281]; positive regulation of protein kinase activity [GO:0045860]; septin ring assembly [GO:0000921]
P38305	
P07248	chromatin organization [GO:0006325]; negative regulation of chromatin silencing [GO:0031936]; peroxisome organization [GO:0007031]; positive regulation of ethanol catabolic process by positive regulation of transcription from RNA polymerase II promoter [GO:0061425]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription from RNA polymerase II promoter by oleic acid [GO:0061429]; positive regulation of transcription from RNA polymerase II promoter in response to ethanol [GO:0061410]; regulation of gene expression [GO:0010468]; regulation of transcription, DNA-templated [GO:0006355]
P38885	
P38266	actin cortical patch assembly [GO:0000147]; barbed-end actin filament capping [GO:0051016]
P48360	cellular iron ion homeostasis [GO:0006879]; ubiquinone biosynthetic process [GO:0006744]
P38328	actin cortical patch organization [GO:0044396]; Arp2/3 complex-mediated actin nucleation [GO:0034314]; positive regulation of Arp2/3 complex-mediated actin nucleation [GO:2000601]
P53323	cellular bud site selection [GO:0000282]; peptidyl-serine phosphorylation [GO:0018105]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein phosphorylation [GO:0006468]; telomere maintenance [GO:0000723]; telomere maintenance via recombination [GO:0000722]; tRNA modification [GO:0006400]; tRNA threonylcarbamoyladenosine metabolic process [GO:0070525]
Q05611	
P53286	amino acid transport [GO:0006865]; intracellular protein transport [GO:0006886]; positive regulation of cell growth [GO:0030307]; protein folding [GO:0006457]; protein localization to nucleus [GO:0034504]; regulation of pH [GO:0006885]; retrograde transport, endosome to Golgi [GO:0042147]
P37366	phosphorylation of RNA polymerase II C-terminal domain [GO:0070816]; positive regulation of Atg1/ULK1 kinase complex assembly [GO:1905866]; positive regulation of autophagy [GO:0010508]; regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0000079]; regulation of transcription by RNA polymerase II [GO:0006357]; response to starvation [GO:0042594]; transcription by RNA polymerase II [GO:0006366]
P07267	autophagy [GO:0006914]; cellular response to starvation [GO:0009267]; cytoplasm to vacuole transport by the Cvt pathway [GO:0032258]; lysosomal microautophagy [GO:0016237]; macroautophagy [GO:0016236]; pexophagy [GO:0000425]; protein catabolic process [GO:0030163]; proteolysis [GO:0006508]; proteolysis involved in cellular protein catabolic process [GO:0051603]; vacuolar protein processing [GO:0006624]
P38042	anaphase-promoting complex-dependent catabolic process [GO:0031145]; cell division [GO:0051301]; metaphase/anaphase transition of mitotic cell cycle [GO:0007091]; positive regulation of mitotic metaphase/anaphase transition [GO:0045842]; protein ubiquitination [GO:0016567]
P32375	allantoin assimilation pathway [GO:0009442]; purine nucleobase catabolic process [GO:0006145]
Q03673	
P38856	clathrin coat assembly [GO:0048268]; clathrin-dependent endocytosis [GO:0072583]; endocytosis [GO:0006897]; vesicle budding from membrane [GO:0006900]
Q08702	cellular response to DNA damage stimulus [GO:0006974]; double-strand break repair [GO:0006302]; single strand break repair [GO:0000012]
P49090	asparagine biosynthetic process [GO:0006529]; glutamine metabolic process [GO:0006541]; L-asparagine biosynthetic process [GO:0070981]
P48361	cellular protein catabolic process [GO:0044257]; cellular response to oxidative stress [GO:0034599]; positive regulation of glycerol transport [GO:0090372]
P32381	actin cortical patch organization [GO:0044396]; Arp2/3 complex-mediated actin nucleation [GO:0034314]; ascospore wall assembly [GO:0030476]; cytoplasm to vacuole transport by the Cvt pathway [GO:0032258]; establishment of mitochondrion localization [GO:0051654]; mitochondrion inheritance [GO:0000001]
P40416	cellular iron ion homeostasis [GO:0006879]; iron import into the mitochondrion [GO:0048250]; iron-sulfur cluster assembly [GO:0016226]; transmembrane transport [GO:0055085]
P41695	centromere complex assembly [GO:0034508]; macroautophagy [GO:0016236]; meiotic sister chromatid cohesion, centromeric [GO:0051754]; mitotic spindle assembly checkpoint [GO:0007094]; protein localization to kinetochore [GO:0034501]; protein phosphorylation [GO:0006468]; sister chromatid biorientation [GO:0031134]
P53841	
P36106	negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of RNA polymerase II transcription preinitiation complex assembly [GO:0045899]; regulation of mRNA 3'-end processing [GO:0031440]; transcription antitermination [GO:0031564]
P39714	alcohol metabolic process [GO:0006066]; butanediol biosynthetic process [GO:0034079]
Q12365	protein localization to spindle pole body [GO:0071988]; spindle pole body duplication [GO:0030474]
Q03630	autophagy [GO:0006914]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]
P50277	biotin biosynthetic process [GO:0009102]
P17555	actin filament depolymerization [GO:0030042]; actin filament organization [GO:0007015]; actin filament severing [GO:0051014]; actin polymerization or depolymerization [GO:0008154]; cell morphogenesis [GO:0000902]; establishment or maintenance of cell polarity [GO:0007163]; positive regulation of actin filament depolymerization [GO:0030836]; positive regulation of mitochondrial fission [GO:0090141]; Ras protein signal transduction [GO:0007265]; regulation of actin filament polymerization [GO:0030833]; regulation of adenylate cyclase activity [GO:0045761]
Q03702	mitochondrial genome maintenance [GO:0000002]
P53868	dolichol-linked oligosaccharide biosynthetic process [GO:0006488]; protein glycosylation [GO:0006486]; protein N-linked glycosylation [GO:0006487]
P0CD91	ascospore formation [GO:0030437]; transmembrane transport [GO:0055085]; water transport [GO:0006833]
P18634	protein transport [GO:0015031]; ubiquitin-dependent endocytosis [GO:0070086]
P40013	2-micrometer plasmid partitioning [GO:0030543]; cell division [GO:0051301]; microtubule depolymerization [GO:0007019]; mitotic sister chromatid cohesion [GO:0007064]; mitotic spindle orientation checkpoint [GO:0031578]; negative regulation of microtubule depolymerization [GO:0007026]; nuclear migration along microtubule [GO:0030473]; positive regulation of microtubule polymerization [GO:0031116]; protein localization to microtubule [GO:0035372]; protein localization to microtubule plus-end [GO:1904825]; regulation of microtubule polymerization or depolymerization [GO:0031110]; spindle assembly [GO:0051225]
P38346	TORC2 signaling [GO:0038203]
P32839	chaperone-mediated protein complex assembly [GO:0051131]; mitochondrial respiratory chain complex III assembly [GO:0034551]; protein insertion into mitochondrial inner membrane from matrix [GO:0032979]
P25558	axial cellular bud site selection [GO:0007120]; cytogamy [GO:0000755]; positive regulation of GTPase activity [GO:0043547]
Q01389	activation of protein kinase activity [GO:0032147]; autophagy of peroxisome [GO:0030242]; cell wall integrity MAPK cascade [GO:0000196]; endoplasmic reticulum unfolded protein response [GO:0030968]; establishment of cell polarity [GO:0030010]; intracellular signal transduction [GO:0035556]; protein phosphorylation [GO:0006468]; regulation of fungal-type cell wall organization [GO:0060237]; regulation of mitotic cell cycle [GO:0007346]; response to acidic pH [GO:0010447]; response to nutrient [GO:0007584]; signal transduction by protein phosphorylation [GO:0023014]; stress-activated protein kinase signaling cascade [GO:0031098]
P25656	actin cortical patch localization [GO:0051666]; aminophospholipid translocation [GO:0140331]; endocytosis [GO:0006897]; intracellular protein transport [GO:0006886]; phospholipid translocation [GO:0045332]; retrograde transport, endosome to Golgi [GO:0042147]
Q12114	ascospore wall assembly [GO:0030476]; cellular bud site selection [GO:0000282]; cell wall chitin catabolic process [GO:0006039]; conjugation with cellular fusion [GO:0000747]; Golgi to plasma membrane transport [GO:0006893]; protein transport [GO:0015031]; regulation of transcription, DNA-templated [GO:0006355]
P13365	cell division [GO:0051301]; mitotic cell cycle phase transition [GO:0044772]; regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0000079]; regulation of transcription involved in G1/S transition of mitotic cell cycle [GO:0000083]; traversing start control point of mitotic cell cycle [GO:0007089]; vacuole fusion, non-autophagic [GO:0042144]; vacuole organization [GO:0007033]
P16522	anaphase-promoting complex-dependent catabolic process [GO:0031145]; cell division [GO:0051301]; metaphase/anaphase transition of mitotic cell cycle [GO:0007091]; positive regulation of mitotic metaphase/anaphase transition [GO:0045842]; protein ubiquitination [GO:0016567]
P15274	AMP metabolic process [GO:0046033]; guanine salvage [GO:0006178]; IMP biosynthetic process [GO:0006188]; IMP salvage [GO:0032264]; purine nucleotide metabolic process [GO:0006163]
P46672	positive regulation of ligase activity [GO:0051351]; tRNA aminoacylation for protein translation [GO:0006418]
P32451	biotin biosynthetic process [GO:0009102]
P32639	mRNA splicing, via spliceosome [GO:0000398]; spliceosome conformational change to release U4 (or U4atac) and U1 (or U11) [GO:0000388]
P53741	protein deubiquitination [GO:0016579]; regulation of ER to Golgi vesicle-mediated transport [GO:0060628]; regulation of retrograde vesicle-mediated transport, Golgi to ER [GO:2000156]; ribophagy [GO:0034517]
P39011	establishment of cell polarity [GO:0030010]; positive regulation of GTPase activity [GO:0043547]; response to pheromone [GO:0019236]; Rho protein signal transduction [GO:0007266]
Q08347	dodecyl sulfate metabolic process [GO:0018909]
P27825	endoplasmic reticulum unfolded protein response [GO:0030968]; protein folding [GO:0006457]; ubiquitin-dependent ERAD pathway [GO:0030433]
P04817	amino acid transmembrane transport [GO:0003333]; arginine transport [GO:0015809]; basic amino acid transport [GO:0015802]; transmembrane transport [GO:0055085]
P0C155	
P40047	acetate biosynthetic process [GO:0019413]; ethanol catabolic process [GO:0006068]
P52892	biosynthetic process [GO:0009058]; L-alanine catabolic process [GO:0042853]
P25335	allantoin catabolic process [GO:0000256]; purine nucleobase metabolic process [GO:0006144]
P38278	
P47134	apoptotic process [GO:0006915]; cell division [GO:0051301]; chromosome segregation [GO:0007059]; mitotic spindle assembly checkpoint [GO:0007094]; mitotic spindle elongation [GO:0000022]; sister chromatid biorientation [GO:0031134]
Q08965	endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000480]; endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000479]; endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000472]; maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]; rRNA methylation [GO:0031167]
Q07457	chromatin silencing at telomere [GO:0006348]; double-strand break repair via homologous recombination [GO:0000724]; histone monoubiquitination [GO:0010390]; histone ubiquitination [GO:0016574]; intra-S DNA damage checkpoint [GO:0031573]; meiotic DNA double-strand break formation [GO:0042138]; mitotic G1 DNA damage checkpoint [GO:0031571]; protein K63-linked ubiquitination [GO:0070534]; regulation of DNA-dependent DNA replication initiation [GO:0030174]; telomere maintenance via recombination [GO:0000722]; transcription by RNA polymerase II [GO:0006366]
P25356	fungal-type cell wall organization [GO:0031505]; intracellular protein transport [GO:0006886]; response to pH [GO:0009268]
Q04199	DNA replication-dependent nucleosome assembly [GO:0006335]; nucleosome assembly [GO:0006334]
P43569	regulation of transcription by RNA polymerase II [GO:0006357]
P36130	mitochondrial fission [GO:0000266]; peroxisome fission [GO:0016559]; regulation of transcription by RNA polymerase II [GO:0006357]
P03874	Group I intron splicing [GO:0000372]; mitochondrial mRNA processing [GO:0090615]
Q3E829	cellular response to DNA damage stimulus [GO:0006974]; DNA repair [GO:0006281]; kinetochore assembly [GO:0051382]; replication fork processing [GO:0031297]; resolution of meiotic recombination intermediates [GO:0000712]
P47112	cell division [GO:0051301]; double-strand break repair via break-induced replication [GO:0000727]; pre-replicative complex assembly involved in nuclear cell cycle DNA replication [GO:0006267]; regulation of DNA-dependent DNA replication initiation [GO:0030174]
Q3E7B2	mitochondrial cytochrome c oxidase assembly [GO:0033617]; negative regulation of mitochondrial translation [GO:0070130]
P38794	cell cycle [GO:0007049]; cell division [GO:0051301]; negative regulation of DNA-binding transcription factor activity [GO:0043433]; negative regulation of macroautophagy [GO:0016242]; regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0000079]; regulation of protein stability [GO:0031647]
Q03050	fungal-type cell wall organization [GO:0031505]
P0CE85	fungal-type cell wall organization [GO:0031505]
P0CE89	fungal-type cell wall organization [GO:0031505]
Q02969	peroxisome fission [GO:0016559]; peroxisome organization [GO:0007031]; protein import into peroxisome matrix [GO:0016558]; regulation of peroxisome size [GO:0044375]
P06197	phosphatidylinositol biosynthetic process [GO:0006661]
Q03674	glycerophospholipid catabolic process [GO:0046475]; glycerophospholipid metabolic process [GO:0006650]
P38218	peptidyl-glutamate ADP-deribosylation [GO:0140291]; tRNA splicing, via endonucleolytic cleavage and ligation [GO:0006388]
P34222	negative regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032435]
P06778	cellular response to DNA damage stimulus [GO:0006974]; DNA amplification [GO:0006277]; DNA recombinase assembly [GO:0000730]; DNA strand renaturation [GO:0000733]; double-strand break repair via break-induced replication [GO:0000727]; double-strand break repair via homologous recombination [GO:0000724]; double-strand break repair via single-strand annealing [GO:0045002]; meiotic joint molecule formation [GO:0000709]; mitochondrial DNA repair [GO:0043504]; mitotic recombination [GO:0006312]; positive regulation of DNA ligase activity [GO:1904877]; postreplication repair [GO:0006301]; telomere maintenance via recombination [GO:0000722]
Q06709	ribosomal large subunit biogenesis [GO:0042273]
P40016	regulation of protein catabolic process [GO:0042176]; ubiquitin-dependent protein catabolic process [GO:0006511]
P36121	tRNA transcription by RNA polymerase III [GO:0042797]
Q02950	mitochondrial translation [GO:0032543]; mitochondrial translational initiation [GO:0070124]
P10870	detection of glucose [GO:0051594]; fructose transmembrane transport [GO:0015755]; glucose import [GO:0046323]; glucose mediated signaling pathway [GO:0010255]; glucose transmembrane transport [GO:1904659]; mannose transmembrane transport [GO:0015761]; negative regulation of meiotic nuclear division [GO:0045835]
P32597	ATP-dependent chromatin remodeling [GO:0043044]; base-excision repair [GO:0006284]; chromatin remodeling at centromere [GO:0031055]; chromosome segregation [GO:0007059]; cytoskeleton organization [GO:0007010]; double-strand break repair [GO:0006302]; meiotic cell cycle [GO:0051321]; nucleosome disassembly [GO:0006337]; nucleosome positioning [GO:0016584]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of transcription, DNA-templated [GO:0006355]; transcription elongation from RNA polymerase II promoter [GO:0006368]; transfer RNA gene-mediated silencing [GO:0061587]
P13099	DNA topological change [GO:0006265]; mitotic sister chromatid cohesion [GO:0007064]; reciprocal meiotic recombination [GO:0007131]; regulation of DNA recombination [GO:0000018]; telomere maintenance via telomerase [GO:0007004]
P53118	cellular lipid metabolic process [GO:0044255]; lipid catabolic process [GO:0016042]
Q06488	ATP-dependent chromatin remodeling [GO:0043044]; chromosome segregation [GO:0007059]; double-strand break repair via homologous recombination [GO:0000724]; double-strand break repair via nonhomologous end joining [GO:0006303]; nucleosome disassembly [GO:0006337]; plasmid maintenance [GO:0006276]; regulation of sporulation resulting in formation of a cellular spore [GO:0042173]; sister chromatid cohesion [GO:0007062]; sporulation resulting in formation of a cellular spore [GO:0030435]; transcription elongation from RNA polymerase II promoter [GO:0006368]; UV-damage excision repair [GO:0070914]
P11792	age-dependent response to oxidative stress involved in chronological cell aging [GO:0001324]; intracellular signal transduction [GO:0035556]; peptidyl-serine phosphorylation [GO:0018105]; positive regulation of hydrogen sulfide biosynthetic process [GO:1904828]; positive regulation of ribosomal protein gene transcription by RNA polymerase II [GO:0060963]; positive regulation of transcription by RNA polymerase I [GO:0045943]; positive regulation of transcription by RNA polymerase III [GO:0045945]; protein phosphorylation [GO:0006468]; regulation of cell size [GO:0008361]; regulation of cysteine metabolic process [GO:1901494]; regulation of protein localization [GO:0032880]; regulation of response to osmotic stress [GO:0047484]; regulation of sphingolipid biosynthetic process [GO:0090153]; regulation of transcription from RNA polymerase II promoter in response to oxidative stress [GO:0043619]; replicative cell aging [GO:0001302]
P25554	cellular protein localization [GO:0034613]; heterochromatin organization involved in chromatin silencing [GO:0070868]; histone H3 acetylation [GO:0043966]; histone H3-K14 acetylation [GO:0044154]; histone H3-K18 acetylation [GO:0043971]; histone H3-K9 acetylation [GO:0043970]; positive regulation of transcription by RNA polymerase II [GO:0045944]; SAGA complex localization to transcription regulatory region [GO:0072742]
Q03323	chromatin silencing at telomere [GO:0006348]; histone H3-K4 methylation [GO:0051568]
Q03868	ascospore-type prospore membrane formation [GO:0032120]; ascospore wall assembly [GO:0030476]; protein localization to prospore membrane [GO:1902657]
P39929	ATP export [GO:1904669]; cellular response to anoxia [GO:0071454]; ESCRT III complex assembly [GO:1904902]; intralumenal vesicle formation [GO:0070676]; late endosome to vacuole transport [GO:0045324]; late endosome to vacuole transport via multivesicular body sorting pathway [GO:0032511]; protein transport [GO:0015031]; reticulophagy [GO:0061709]; ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway [GO:0043162]; vesicle budding from membrane [GO:0006900]
P53135	cell cycle [GO:0007049]; DNA replication initiation [GO:0006270]; DNA unwinding involved in DNA replication [GO:0006268]; double-strand break repair via break-induced replication [GO:0000727]
P09959	positive regulation of reciprocal meiotic recombination [GO:0010845]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription from RNA polymerase II promoter in response to heat stress [GO:0061408]; positive regulation of transcription involved in G1/S transition of mitotic cell cycle [GO:0071931]; regulation of transcription involved in G1/S transition of mitotic cell cycle [GO:0000083]
Q08646	ascospore formation [GO:0030437]; ascospore wall assembly [GO:0030476]; positive regulation of protein autophosphorylation [GO:0031954]
Q02875	nuclear pore distribution [GO:0031081]
P53228	carbohydrate metabolic process [GO:0005975]; cellular response to oxidative stress [GO:0034599]; pentose-phosphate shunt, non-oxidative branch [GO:0009052]
Q12043	lipid catabolic process [GO:0016042]; sporulation resulting in formation of a cellular spore [GO:0030435]; triglyceride mobilization [GO:0006642]
Q03496	tRNA methylation [GO:0030488]; wobble position ribose methylation [GO:0002130]
P35209	chromatin silencing at telomere [GO:0006348]; rDNA heterochromatin assembly [GO:0000183]; regulation of transcription by RNA polymerase II [GO:0006357]; silent mating-type cassette heterochromatin assembly [GO:0030466]
Q06010	peptide catabolic process [GO:0043171]; peptide mating pheromone maturation involved in positive regulation of conjugation with cellular fusion [GO:0071432]; proteolysis involved in cellular protein catabolic process [GO:0051603]; response to pheromone [GO:0019236]
P22438	methionyl-tRNA aminoacylation [GO:0006431]
P53065	tRNA modification [GO:0006400]; tRNA wobble adenosine to inosine editing [GO:0002100]
P32897	protein import into mitochondrial matrix [GO:0030150]
Q9URQ3	tRNA modification [GO:0006400]; tRNA wobble adenosine to inosine editing [GO:0002100]
P34219	regulation of transcription by RNA polymerase II [GO:0006357]
Q07527	tRNA methylation [GO:0030488]; tRNA nucleoside ribose methylation [GO:0002128]
P38319	DNA repair [GO:0006281]; double-strand break repair [GO:0006302]; single strand break repair [GO:0000012]
P38816	cell redox homeostasis [GO:0045454]; cellular response to oxidative stress [GO:0034599]; removal of superoxide radicals [GO:0019430]
P43123	UDP-N-acetylglucosamine biosynthetic process [GO:0006048]
P38152	mitochondrial citrate transmembrane transport [GO:0006843]; transmembrane transport [GO:0055085]
P22515	cellular response to DNA damage stimulus [GO:0006974]; protein modification by small protein conjugation [GO:0032446]; protein ubiquitination [GO:0016567]; ubiquitin-dependent protein catabolic process [GO:0006511]
P38709	glycogen metabolic process [GO:0005977]; UDP-glucose metabolic process [GO:0006011]
P53726	
Q08206	
P47172	mRNA polyadenylation [GO:0006378]; negative regulation of protein ubiquitination [GO:0031397]; positive regulation of mRNA 3'-end processing [GO:0031442]; pre-mRNA cleavage required for polyadenylation [GO:0098789]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein autoubiquitination [GO:0051865]; protein monoubiquitination [GO:0006513]; protein polyubiquitination [GO:0000209]
P47073	
P47078	
P40579	
P35691	cellular response to oxidative stress [GO:0034599]; cytoplasmic translation [GO:0002181]; negative regulation of autophagy [GO:0010507]; negative regulation of microtubule depolymerization [GO:0007026]
P53230	cardiolipin biosynthetic process [GO:0032049]; CDP-diacylglycerol biosynthetic process [GO:0016024]
P47058	tRNA modification [GO:0006400]; tRNA wobble adenosine to inosine editing [GO:0002100]
P32643	methylation [GO:0032259]
Q12049	mRNA splicing, via spliceosome [GO:0000398]
P54857	triglyceride catabolic process [GO:0019433]
Q06339	5S class rRNA transcription by RNA polymerase III [GO:0042791]; transcription by RNA polymerase III [GO:0006383]
P38811	DNA repair [GO:0006281]; histone acetylation [GO:0016573]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein phosphorylation [GO:0006468]; regulation of transcription, DNA-templated [GO:0006355]
P48560	
Q06672	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]
P52491	protein neddylation [GO:0045116]; protein polyubiquitination [GO:0000209]
Q04006	mitochondrion morphogenesis [GO:0070584]; phospholipid transport [GO:0015914]
P12887	base-excision repair, AP site formation via deaminated base removal [GO:0097510]; DNA repair [GO:0006281]
Q04228	lipid droplet organization [GO:0034389]; mitochondria-associated ubiquitin-dependent protein catabolic process [GO:0072671]; mitochondrial protein processing [GO:0034982]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; ubiquitin-dependent ERAD pathway [GO:0030433]
P34247	endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000480]; endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000447]; endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000472]; rRNA methylation [GO:0031167]; rRNA processing [GO:0006364]; translation [GO:0006412]
P51401	cytoplasmic translation [GO:0002181]
P36521	mitochondrial translation [GO:0032543]; ribosome biogenesis [GO:0042254]; translation [GO:0006412]
P32565	proteasome assembly [GO:0043248]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; regulation of protein catabolic process [GO:0042176]; ubiquitin-dependent protein catabolic process [GO:0006511]
P04050	transcription, RNA-templated [GO:0001172]; transcription by RNA polymerase II [GO:0006366]; translesion synthesis [GO:0019985]
Q12377	proteasome assembly [GO:0043248]; ubiquitin-dependent protein catabolic process [GO:0006511]
P05756	cytoplasmic translation [GO:0002181]; maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]
P05759	cytoplasmic translation [GO:0002181]; maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, LSU-rRNA,5S) [GO:0002109]; modification-dependent protein catabolic process [GO:0019941]; protein ubiquitination [GO:0016567]; ribosomal small subunit assembly [GO:0000028]; ribosome biogenesis [GO:0042254]
P05755	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]; positive regulation of translational fidelity [GO:0045903]; translation [GO:0006412]
Q12751	protein import into nucleus [GO:0006606]; protein secretion [GO:0009306]
P53289	
P43682	intra-Golgi vesicle-mediated transport [GO:0006891]; protein transport [GO:0015031]; vesicle fusion [GO:0006906]
Q99287	endoplasmic reticulum inheritance [GO:0048309]; endoplasmic reticulum membrane fusion [GO:0016320]; endoplasmic reticulum organization [GO:0007029]; membrane organization [GO:0061024]
P20048	dolichyl monophosphate biosynthetic process [GO:0043048]; protein glycosylation [GO:0006486]
P40479	cell wall integrity MAPK cascade [GO:0000196]; inactivation of MAPK activity [GO:0000188]; peptidyl-threonine dephosphorylation [GO:0035970]; peptidyl-tyrosine dephosphorylation [GO:0035335]; protein dephosphorylation [GO:0006470]
P39931	
Q06688	circadian rhythm [GO:0007623]; microtubule-based process [GO:0007017]
Q07351	
Q12009	RNA (guanine-N7)-methylation [GO:0036265]; tRNA (guanine-N7)-methylation [GO:0106004]; tRNA methylation [GO:0030488]; tRNA modification [GO:0006400]
P38228	apoptotic mitochondrial changes [GO:0008637]; chaperone-mediated protein complex assembly [GO:0051131]; mitochondrial respiratory chain complex II assembly [GO:0034553]; mitochondrial unfolded protein response [GO:0034514]; protein folding [GO:0006457]; protein import into mitochondrial intermembrane space [GO:0045041]
P11747	regulation of transcription by RNA polymerase II [GO:0006357]; RNA polymerase II preinitiation complex assembly [GO:0051123]; transcription by RNA polymerase II [GO:0006366]
P32318	mitochondrial genome maintenance [GO:0000002]; thiamine biosynthetic process [GO:0009228]; thiazole biosynthetic process [GO:0052837]
Q03322	endocytosis [GO:0006897]; intracellular protein transport [GO:0006886]; retrograde transport, endosome to Golgi [GO:0042147]; vesicle docking [GO:0048278]; vesicle fusion [GO:0006906]
P35172	trehalose catabolic process [GO:0005993]
